name,address,postal_code,overview,employees,tech_team,website,tags,twitter,logo,published,user
Slack,1028 Hamilton St.,V6B 2R9,Slack is the collaboration hub that brings the right people together with all the right information and tools to get work done.,385,25,http://slack.com/,,https://twitter.com/slackstatus,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Slack_Technologies_Logo.svg/2000px-Slack_Technologies_Logo.svg.png,TRUE,
Procurify,717 West Pender St.,V6C 1G9,Our vision at Procurify is to reinvent the way organizations spend. We strive to achieve this vision by helping companies and organizations across the world get more from their spending.,92,10,http://www.procurify.com/,,https://twitter.com/procurify,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/ProcurifyNewLogoWithText.png/1200px-ProcurifyNewLogoWithText.png,TRUE,
Plenty of Fish,2525-555 Hastings St. W.,V6G 5B3,"PlentyOfFish (POF) is an online dating service, popular primarily in Canada, the United Kingdom, Ireland, Australia, New Zealand, Brazil, and the United States. It is available in nine languages. ",75,8,http://www.pof.com/,,https://twitter.com/plentyoffish,https://2.bp.blogspot.com/-4CQrFU2t_-o/WFgwwa3PB2I/AAAAAAAACkQ/eVfKjTpUP4Y6ClHhzqB4c9D8ThJCpBznwCLcB/s1600/pof.png,FALSE,
Hootsuite,5 E. 8th Ave.,V5T 1R6,"HootSuite is a social media management tool that allows users to schedule and post updates to any page or profile for Facebook, Twitter, LinkedIn, Google+, Instagram, WordPress, and other platforms from one place—the HootSuite dashboard",1000,45,http://hootsuite.com,,https://twitter.com/hootsuite,http://blog.scoop.it/wp-uploads/2012/10/hootsuite-logo.png,TRUE,
QuickMobile,1177 W Hastings St.,V6E 2K3,"At QuickMobile, we’re re-defining events by designing mobile event apps for today’s tech-savvy attendee. Our apps for events and conferences create meaningful and lasting experiences for our customers and their attendees.",162,11,http://www.quickmobile.com/,,https://twitter.com/quickmobile,https://images.g2crowd.com/uploads/product/image/large_detail/large_detail_1531152383/quickmobile-by-cvent.png,TRUE,
Fitplan,201-1062 Homer St.,V6B 2W9,Let’s create greatness together. Fitplan is the dynamic mobile app empowering our community to become their best selves. We are fuelled by passion for helping others to realize their goals and making wild fitness ambitions accessible. ,50,6,http://www.fitplanapp.com/,,https://twitter.com/fitplan_app,http://blog.fitplanapp.com/wp-content/uploads/2016/03/logo.png,TRUE,
Lighthouse Labs, 128 W Hastings St.,V6B 1G8,Lighthouse Labs' Coding Bootcamp will take you from programming hobbyist to professional Developer and will launch your new coding career.,40,5,http://lighthouselabs.ca/,,https://twitter.com/lighthouse_labs,https://lighthouselabs.ca/assets/lighthouselabs-logo-d5df6d383f7466b06a64de9561fd537493502eafe78bbf3bcd3de82884e5dd85.png,TRUE,
CodeCore,142 W Hastings St.,V6B 1G8,"CodeCore Developer Bootcamp is an intensive in-person training program in professional web development program offered by CodeCore which runs for 12 weeks at a time, 6 times a year, out of Vancouver, B.C. Canada.",20,4,http://www.codecore.ca/,,https://twitter.com/CodeCoreYVR,https://lh6.googleusercontent.com/L49VMNFZ760XFyY4zwjhFrkgtIFhbriFrmY0mRsqyKjzdUl4U-wFyh4EszaC77s2hO2--xh5NXv4Mu7X1iOsqelZu6DyAO-a2_YsAPgzZx-whBez9FlPRbQ9tW9XIedL5A,FALSE,
Unbounce,400-401 W Georgia St.,V6B 5A1,"Unbounce has helped marketers and digital agencies increase website and campaign conversions. Unbounce’s landing page and conversion marketing platform allows marketers to quickly create, launch and test high-converting landing pages, popups, and sticky bars without developers. ",65,5,http://unbounce.com/,,https://twitter.com/unbounce,https://fitsmallbusiness.com/wp-content/uploads/2017/08/Unbounce-Review-Logo.png,TRUE,
Chimp,1500 W Georgia St. #1250,V6G 2Z6,"Chimps is a purpose-driven, Vancouver-based organization with deep roots in the charitable and tech sectors. We believe that giving changes the world, and we know for sure that the more we give, the more we get back. Our community connects people who want to make the world better with charities that are taking action on causes they care about.",99,20,http://chimp.net,,https://twitter.com/wearechimp,https://chimp.net/js/80647484a7083322500de869e357b207.png,TRUE,
Vision Critical,200 Granville St.,V6C 1S4,"Develop a deeper understanding of your customers and drive smarter, more customer-centric decisions across the enterprise.",648,45,http://www.visioncritical.com/,,https://twitter.com/visioncritical,https://static1.squarespace.com/static/5223e732e4b0b90e69186c51/t/5966da8937c5817052c3eb24/1499912883836/vision-critical-logo.png,FALSE,
Bench,545 Robson St.,V6B 2B7,"We’re a laid back group of people working hard on a tough problem. Bookkeeping is a universal point of pain for entrepreneurs, and we’re changing that.",200,12,http://bench.co,,https://twitter.com/bench,https://upload.wikimedia.org/wikipedia/commons/8/80/Bench-Logo.svg,FALSE,
Daiya Food,2768 Rupert St.,V5M 3T7,"The Daiya Difference. Eat Freely. All of our products are free of seven major food allergens including dairy, gluten and soy.",104,7,http://daiyafoods.com/,,https://twitter.com/daiyafoods,https://daiyafoods.com/wp-content/themes/daiya2016/images/nav-logo.png,TRUE,
Vega,101-3001 Wayburne Drive,V5G 4W3,"It takes a cup of vision, a scoop of determination, a pound of curiosity, an ounce of innovation, and a dash of serendipity to make our foodscape better, one small step at a time. ",120,15,http://myvega.com/pages/about-us,,https://twitter.com/VegaTeam,http://cdn.shopify.com/s/files/1/0004/5862/0986/files/vega_fb_preview.jpg?v=1521128645,TRUE,
ShoeMe,1A450 1500 W Georgia St,V6G 2Z6,"At Town Shoes, we know footwear is about so much more than function. We believe in the beauty, importance and joy of shoes, and that 
belief impacts everything we do – it inspires our carefully curated selection of beautiful, stylish, wearable footwear, and it makes shopping 
in our stores a memorable experience.",125,14,,,,http://dsw.townshoes.ca/medias/logo-dsw.png?context=bWFzdGVyfGltYWdlc3w5MDUwfGltYWdlL3BuZ3xpbWFnZXMvaGUwL2g3ZS84ODI4NDYzMDg3NjQ2LnBuZ3xiZGI0YTBlMTZkNTQ5NTczNGMxMDc0MDAyNThlOTA0YWFmZjUzYTMxMzg0MDUyMzI1YmNhODZjZTFkZDZkYmMx,FALSE,
RadWare,1111 Melville St.,V6E 3V6,Continuously adaptive real-time DDoS services for the most sophisticated web security threats through best-in-class cloud WAF and DDoS protection,100,80,http://www.radware.com/,,https://twitter.com/radware,https://www.radware.com/RadwareSite/MediaLibraries/Images/Content/NewsEvents/Media_Kit/masterAwhite-large.jpg,TRUE,
Battlefy,609 W. Hastings St. #1100,V6B 4W4,"Battlefy is the simplest way to start, manage, and find esports tournaments.",50,27,http://battlefy.com/,,https://twitter.com/Battlefy,https://media.glassdoor.com/sql/935744/battlefy-squarelogo-1505484529418.png,TRUE,
EA Canada,4330 Sanderson Way,V5G 4X1,"We exist to inspire the world through Play. Electronic Arts is a leading publisher of games on Console, PC and Mobile.",1000,700,http://www.ea.com/en-ca,,https://twitter.com/ea,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Electronic-Arts-Logo.svg/1200px-Electronic-Arts-Logo.svg.png,TRUE,
D-Wave,3033 Beta Ave.,V5G 4M9,D-Wave is a company that developes and delivers Quantum computing systems and software.,160,40,http://www.dwavesys.com/home,,https://twitter.com/dwavesys,https://upload.wikimedia.org/wikipedia/en/thumb/1/1e/D-Wave_Systems_logo.svg/1280px-D-Wave_Systems_logo.svg.png,TRUE,
Saltworks,13800 Steveston Hwy.,V6W 1A8,"Saltworks Technologies delivers water technologies for industrial desalination that concentrate brine, achieve zero liquid discharge & make clean water.",200,50,http://www.saltworkstech.com/,,https://twitter.com/saltworkstech,https://scontent.fyvr4-1.fna.fbcdn.net/v/t1.0-9/15622014_1843839669195865_25289907189542838_n.jpg?_nc_cat=0&oh=93f9f4f42be7cfa69732e80bfcac5020&oe=5BD5A51C,TRUE,
Modo,"Suite #200, 470 Granville St.",V6C 1V5,"Modo is a carshare co-opertive, known for being the first carshare company in BC.",50,15,http://www.modo.coop/about/#tile-team,,https://twitter.com/modo_carcoop,https://pbs.twimg.com/profile_images/1010226081566097409/fR7xlbyV_400x400.jpg,TRUE,
